,Quarter,CPI,fed_6_m_quarterly,fed_5_y_quarterly,Interest Rate,GDP,Housing_Index,corporate_yield,Unemployment,SandP_500,WTI_Crude_Oil_Price
136,1981Q1,87.93333333333334,-2.9233333333333333,-3.3077049180327869,16.569999999999997,3124.206,105.19,13.163333333333334,7.433333333333333,131.6429033387097,38.0
137,1981Q2,89.76666666666667,-3.5033333333333334,-3.5880952380952381,17.78,3162.532,107.41,13.983333333333334,7.4,132.81952434920635,37.333333333333336
138,1981Q3,92.26666666666667,-2.5166666666666666,-2.2678125000000000,17.576666666666664,3260.609,108.85,14.920000000000002,7.4,125.7295309375,36.0
139,1981Q4,93.76666666666667,-1.373333333333333,0.56393442622950819672,13.586666666666666,3280.818,107.49,14.616666666666667,8.233333333333333,122.147031015625,35.333333333333336
140,1982Q1,94.60000000000001,-1.1566666666666665,0.11934426229508196721,14.226666666666667,3274.302,106.14,15.01,8.833333333333332,114.03725812903225,31.296666666666667
141,1982Q2,95.96666666666665,-1.96,-0.46936507936507936508,14.513333333333334,3331.972,108.8,14.51,9.433333333333334,114.01365073015873,34.81666666666667
142,1982Q3,97.63333333333333,-0.63,2.1326562500000000,11.006666666666666,3366.322,107.02,13.753333333333332,9.9,113.755312546875,34.580000000000005
143,1982Q4,97.93333333333334,-1.0233333333333332,1.1552459016393443,9.286666666666667,3402.561,111.7,11.876666666666665,10.666666666666666,136.750626234375,33.85
144,1983Q1,98.0,-0.4766666666666667,1.4557142857142857,8.653333333333334,3473.413,114.43,11.843333333333334,10.366666666666665,147.80809433333334,29.653333333333336
145,1983Q2,99.13333333333333,-0.3333333333333333,1.4134920634920635,8.803333333333335,3578.848,115.94,11.57,10.133333333333333,162.86349246031745,30.536666666666665
146,1983Q3,100.10000000000001,-0.1533333333333333,1.9679687500000000,9.459999999999999,3689.179,116.96,12.343333333333334,9.366666666666667,165.390624296875,31.560000000000002
147,1983Q4,101.10000000000001,-0.4533333333333333,1.9673333333333333,9.43,3794.706,117.66,12.410000000000002,8.533333333333333,165.75222152380954,29.83
148,1984Q1,102.53333333333335,-0.4033333333333333,1.9443548387096774,9.686666666666667,3908.054,119.43,12.283333333333333,7.866666666666667,160.36365153968254,30.198666666666668
149,1984Q2,103.5,-0.3366666666666666,2.3809523809523810,10.556666666666667,4009.601,121.04,13.213333333333333,7.433333333333333,155.7423802857143,30.36833333333333
150,1984Q3,104.39999999999999,-0.8566666666666666,1.4150793650793651,11.39,4084.25,122.17,12.99,7.433333333333333,160.48349166666665,29.104333333333333
151,1984Q4,105.3,-0.2799999999999999,2.2355737704918033,9.266666666666667,4148.551,123.15,12.35,7.3,165.189687515625,27.430666666666667
152,1985Q1,106.26666666666667,-0.0466666666666666,2.7233333333333333,8.476666666666667,4230.168,124.9,12.256666666666668,7.2333333333333325,177.09854796774195,27.05
153,1985Q2,107.23333333333333,-0.2666666666666666,2.3700000000000000,7.923333333333333,4294.887,126.77,11.63,7.3,184.73793546031746,27.857
154,1985Q3,107.89999999999999,-0.6366666666666667,1.8469841269841270,7.8999999999999995,4386.773,128.75,11.030000000000001,7.2,188.5496826825397,27.791
155,1985Q4,109.0,-0.8466666666666667,1.0666129032258065,8.103333333333333,4444.094,130.18,10.576666666666666,7.033333333333333,196.61671878125,29.193
156,1986Q1,109.56666666666666,-0.88,0.36650000000000000000,7.826666666666667,4507.894,132.72,9.573333333333332,7.033333333333333,219.5860647704918,17.00166666666667
157,1986Q2,109.03333333333335,-0.7400000000000001,0.44187500000000000000,6.919999999999999,4545.34,135.5,9.003333333333332,7.166666666666666,240.53343796875,13.92
158,1986Q3,109.7,-0.62,0.70687500000000000000,6.206666666666666,4607.669,137.56,8.83,6.966666666666667,241.134842875,13.86
159,1986Q4,110.46666666666665,-0.86,0.33983870967741935484,6.266666666666667,4657.627,139.69,8.676666666666668,6.833333333333334,243.51984409375,15.378333333333336
160,1987Q1,111.8,-0.6766666666666667,0.58540983606557377049,6.22,4722.156,142.46,8.366666666666667,6.6,279.46532417741935,18.229
